year_level,program,mode_of_study,acad_qual_teaching,acad_faculty_knowledge,acad_consultation_avail,acad_grading_fairness,it_support_avail,it_response_time,it_problem_resolution,it_sys_reliability,fac_classrooms,fac_equipment,fac_network_reliability,fac_learning_materials,serv_health_avail,serv_health_quality,serv_front_office_help,serv_admin_efficiency,serv_office_convenience,serv_advising,serv_staff_responsiveness,serv_complaint_handling,serv_career_support,lib_comp_avail,lib_materials,lib_staff_help,lib_comp_condition,lib_spaces,fac_bath_clean,fac_toiletries,fac_water_supply,needs_alignment,recommendation_intent,sentiment_score,target_satisfaction
3rd Year,Information Technology,Blended,2,4,2,3,3,3,4,2,2,2,2,2,4,4,4,4,2,2,2,2,2,1,2,4,2,1,4,4,4,2,2,0.0,2
3rd Year,Data Science,Blended,4,4,5,4,5,2,3,3,5,2,2,1,5,4,5,5,5,3,5,3,3,5,5,5,3,3,5,5,4,5,4,0.0,5
2nd Year,Data Science,Face-to-face,3,4,4,3,5,3,4,2,5,5,3,4,5,5,5,4,3,5,5,3,4,4,4,5,5,5,4,4,5,4,5,0.0,4
2nd Year,Data Science,Blended,3,4,2,5,5,5,4,5,3,5,5,2,4,5,3,5,4,5,5,2,5,4,3,4,4,5,2,1,5,5,5,0.0,5
3rd Year,Information Technology,Face-to-face,4,5,4,4,3,5,4,5,3,1,3,5,4,4,4,4,5,3,2,4,5,5,5,4,5,5,3,5,5,5,4,0.125,5
1st Year,Information Technology,Face-to-face,3,4,3,4,3,4,3,3,5,3,5,3,3,4,4,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,0.7,5
3rd Year,Data Science,Blended,5,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,5
1st Year,Data Science,Blended,4,4,5,5,4,4,5,5,5,5,2,4,5,5,5,5,5,5,5,4,5,5,4,3,3,5,5,5,5,5,5,0.0,4
2nd Year,Data Science,Blended,5,5,5,3,5,3,5,5,5,5,5,5,4,4,5,3,5,4,4,4,5,5,5,4,5,5,5,5,5,5,5,0.8,2
3rd Year,Information Technology,Blended,3,5,5,4,4,4,4,3,5,4,5,3,4,5,4,5,4,5,2,4,5,5,5,5,3,5,5,1,4,5,4,0.125,3
2nd Year,Data Science,Face-to-face,4,4,2,5,4,3,4,4,2,4,3,3,5,5,5,3,5,4,5,2,5,4,4,3,3,1,4,5,5,5,2,0.8,4
2nd Year,Data Science,Blended,3,3,5,5,3,5,4,3,5,5,1,5,3,4,4,5,3,2,3,4,5,4,5,5,5,5,5,4,5,5,4,0.8,5
2nd Year,Data Science,Blended,5,4,5,4,4,3,4,4,5,1,4,1,5,4,5,3,3,5,4,4,4,3,5,4,3,5,3,4,5,5,5,0.0,4
2nd Year,Data Science,Face-to-face,5,5,5,5,4,2,5,3,4,3,3,4,3,3,3,5,5,2,2,4,2,4,4,5,5,5,5,5,4,5,4,0.0,4
3rd Year,Data Science,Blended,5,5,5,5,5,5,5,5,1,1,1,1,3,3,4,5,5,4,4,5,4,4,5,5,3,4,5,5,5,5,4,0.5,4
2nd Year,Information Technology,Face-to-face,2,4,5,5,4,3,5,4,3,4,4,2,4,4,5,4,2,5,5,3,5,5,2,5,3,5,4,5,5,3,5,0.5,5
1st Year,Data Science,Blended,3,5,2,5,2,4,5,5,4,1,1,2,5,5,5,5,5,3,2,5,4,5,5,5,4,5,3,4,5,3,5,0.0,4
2nd Year,Data Science,Blended,5,5,4,4,3,3,5,5,5,5,5,4,4,5,5,5,5,4,2,4,5,4,5,4,4,5,5,5,5,2,5,0.7,2
3rd Year,Information Technology,Face-to-face,5,4,4,4,5,4,5,4,4,1,3,5,3,4,5,5,3,5,4,3,5,4,2,5,4,5,5,5,5,5,4,0.125,3
3rd Year,Data Science,Blended,5,5,5,5,3,5,5,5,4,3,5,2,4,5,4,4,5,5,5,5,5,5,3,5,4,4,5,5,3,4,3,0.8,4
3rd Year,Information Technology,Blended,3,4,5,4,2,3,3,3,5,4,1,5,5,4,4,5,3,4,3,3,5,4,5,5,4,5,3,5,5,3,3,0.0,5
2nd Year,Information Technology,Blended,5,3,5,5,3,3,4,5,5,3,3,5,5,3,4,3,5,5,4,4,5,5,5,5,5,3,4,5,5,5,5,0.8,5
3rd Year,Data Science,Face-to-face,5,5,3,5,3,5,4,5,2,4,3,1,5,5,5,5,5,5,5,2,5,5,4,5,5,5,5,4,4,4,3,0.0,4
2nd Year,Data Science,Blended,4,4,3,4,5,2,5,5,5,4,3,4,4,4,4,4,5,2,4,4,3,5,5,4,3,5,4,4,5,4,4,0.0,4
2nd Year,Data Science,Blended,4,4,5,4,5,4,4,3,4,2,5,2,5,5,5,4,5,5,3,4,4,4,5,5,5,4,5,4,5,5,4,0.0,5
2nd Year,Data Science,Face-to-face,2,4,3,4,3,5,5,5,2,4,4,1,4,3,5,5,4,5,2,4,5,5,5,5,5,1,3,4,5,5,5,0.8,2
2nd Year,Data Science,Blended,5,5,4,4,5,4,4,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,4,4,3,5,5,4,5,5,5,0.0,5
1st Year,Data Science,Blended,5,4,2,5,4,5,4,5,5,5,5,5,4,4,5,4,2,3,3,3,5,5,3,5,5,5,5,4,3,5,3,0.0,4
3rd Year,Information Technology,Face-to-face,3,4,5,4,3,5,3,5,1,4,1,1,5,5,4,3,5,5,2,4,5,5,3,5,2,4,5,3,5,3,3,0.0,2
3rd Year,Information Technology,Blended,4,4,5,4,4,4,5,2,5,4,5,4,3,5,5,4,5,2,4,4,4,5,5,5,5,4,5,4,4,5,5,0.7,4
2nd Year,Data Science,Blended,4,4,5,5,5,4,4,5,4,5,5,5,4,5,4,5,2,5,4,4,5,5,5,3,4,3,4,5,5,4,5,0.8,4
3rd Year,Data Science,Blended,4,5,5,5,3,5,4,5,3,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,3,0.0,4
3rd Year,Information Technology,Face-to-face,5,4,3,3,4,4,2,2,2,1,5,2,4,4,4,3,5,5,5,4,5,4,2,5,5,3,4,2,4,5,4,0.0,3
3rd Year,Data Science,Online,5,5,5,3,4,4,4,3,2,2,1,5,5,4,5,3,5,5,5,5,4,4,5,4,5,5,5,4,3,5,2,0.8,4
2nd Year,Data Science,Blended,4,5,5,3,5,5,3,5,5,5,2,4,5,5,4,5,4,5,2,2,5,5,5,5,5,3,4,5,5,5,3,0.8,5
2nd Year,Data Science,Blended,2,5,5,4,4,5,4,4,4,4,5,4,4,4,5,5,3,5,2,2,5,5,5,5,4,5,5,5,5,5,5,0.0,5
2nd Year,Data Science,Blended,2,4,2,5,5,5,5,5,5,1,2,2,5,5,5,5,5,4,2,2,1,5,5,5,5,5,5,5,5,5,5,0.0,5
2nd Year,Information Technology,Face-to-face,3,4,4,3,3,3,3,4,2,2,3,3,4,4,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,0.0,3
2nd Year,Data Science,Blended,5,4,4,4,3,5,5,4,3,1,5,5,5,5,5,3,5,5,3,4,5,5,5,5,5,5,3,3,5,5,4,0.8,3
3rd Year,Data Science,Face-to-face,5,4,5,5,4,4,4,1,5,4,2,2,5,4,5,3,5,5,5,5,5,1,5,5,4,5,5,5,4,4,4,0.0,5
3rd Year,Data Science,Blended,3,4,5,5,3,4,4,4,4,5,4,5,4,5,4,4,3,4,2,2,3,4,4,4,5,5,3,5,4,2,5,0.8,2
2nd Year,Data Science,Face-to-face,3,5,5,4,2,5,5,5,3,4,2,2,4,5,4,5,5,4,3,2,5,5,5,5,3,5,2,4,5,5,3,0.8,5
2nd Year,Data Science,Blended,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,5,5,4,4,5,5,5,5,4,5,5,4,5,5,5,0.8,4
3rd Year,Data Science,Blended,4,5,5,5,4,4,4,3,5,5,2,5,5,5,4,4,4,5,4,4,4,4,4,5,4,4,3,1,4,5,4,0.125,4
3rd Year,Data Science,Face-to-face,3,4,4,4,5,5,3,5,4,5,3,5,5,5,4,5,5,5,5,5,3,4,5,5,5,5,5,5,4,3,4,0.0,4
3rd Year,Information Technology,Face-to-face,5,4,3,4,5,4,4,5,2,5,3,5,4,5,5,5,5,5,4,3,4,5,3,5,5,1,2,5,4,5,5,0.0,4
3rd Year,Data Science,Blended,3,4,3,4,4,4,4,3,5,4,5,2,5,5,5,3,5,2,4,4,5,4,5,4,5,4,4,5,4,3,3,0.8,4
3rd Year,Information Technology,Blended,3,4,5,5,5,4,3,5,2,4,1,5,4,5,5,5,5,4,5,4,4,5,5,5,3,5,3,2,5,5,5,0.7,5
3rd Year,Data Science,Blended,5,4,4,5,2,5,5,4,5,2,4,5,5,5,3,4,5,5,4,2,5,5,5,3,3,5,4,4,5,5,5,0.0,4
3rd Year,Data Science,Blended,4,5,5,5,2,5,3,5,5,4,5,4,5,5,4,5,5,5,5,5,3,4,5,5,3,5,5,5,5,5,5,0.0,5
3rd Year,Data Science,Blended,4,5,4,4,3,2,5,3,4,4,1,1,5,5,4,3,4,5,2,4,4,1,5,3,5,3,5,5,3,5,5,0.0,4
3rd Year,Data Science,Blended,4,4,5,4,5,4,3,2,5,4,5,1,5,4,4,5,5,5,5,2,2,5,4,5,5,4,5,1,5,3,3,0.0,4
2nd Year,Data Science,Blended,3,5,5,5,5,4,5,2,5,5,3,3,4,5,5,4,3,5,2,4,3,5,4,5,4,4,5,1,5,5,2,0.5,4
2nd Year,Data Science,Blended,5,4,5,3,4,2,4,3,5,2,5,4,4,5,5,5,5,5,4,4,5,5,5,4,2,3,5,5,5,5,5,0.0,4
3rd Year,Information Technology,Blended,5,4,5,4,5,4,5,5,4,2,4,3,3,4,4,4,3,5,4,2,5,5,4,5,5,5,2,5,5,3,5,0.125,5
2nd Year,Data Science,Face-to-face,3,3,3,3,4,3,4,2,3,4,3,5,4,4,5,4,4,2,3,3,3,5,4,5,5,5,2,2,4,3,3,0.0,3
3rd Year,Data Science,Online,5,5,4,4,5,4,2,5,4,4,4,5,4,5,5,5,5,5,4,5,1,5,2,4,2,5,3,4,4,2,2,0.8,4
3rd Year,Data Science,Online,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.8,5
1st Year,Data Science,Blended,4,4,4,4,5,4,3,5,4,1,5,5,4,4,5,5,5,4,5,5,2,5,4,5,4,1,5,3,5,2,5,0.0,4
