Timestamp,Year Level,Program,Mode of Study,Quality of teaching by SOIT faculty,Faculty knowledge of subject matter,Availability of instructors for consultation,Fairness of grading and assessments,Availability of IT support when technical assistance is needed ,Timeliness of IT staff response to reported issues,Effectiveness of IT support in resolving technical problems,"Reliability of IT systems (Wi-Fi, portals, LMS, software platforms)",Classroom and laboratory facilities,Availability and condition of computers/equipment,Internet and network reliability,"Access to learning materials (LMS, library, software tools)",Availability of health services when needed,Quality and timeliness of health service provision,Helpfulness and accuracy of information provided by front office staff,Efficiency of processing requests and transactions,Convenience of office hours and procedures,Academic advising and guidance services,Responsiveness of SOIT staff to student concerns,Effectiveness in handling student concerns and complaints,Career guidance and internship support,Availability of computers for student use in the library,Availability of required books and reference materials,Helpfulness and approachability of library staff,Condition and functionality of library computers,Availability and comfort of library spaces and seating,Cleanliness and sanitation of bathroom facilities,"Availability of toiletries (soap, tissue, etc.)","Availability and reliability of water supply (working faucets, bidets, etc.)",Overall satisfaction with SOIT services,SOIT services meet my academic needs,I would recommend SOIT to other students,Which service do you find most helpful?,What areas need improvement?,Additional comments or suggestions:
2026/02/26 2:03:38 PM GMT+8,2nd Year,Information Technology,Face-to-face,3,4,4,3,3,3,3,4,2,2,3,3,4,4,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,I guess when it comes to Registrar or health related?,SOIT,"pakiayos ang internet, response time, and pagbaba ng pride"
2026/02/26 2:19:49 PM GMT+8,3rd Year,Data Science,Blended,4,5,5,5,4,4,4,3,5,5,2,5,5,5,4,4,4,5,4,4,4,4,4,5,4,4,3,1,4,4,5,4,I find service to consult with faculty members about their knowledge of expertise extremely helpful in learning. ,I would say that the constant changes of the curriculum hinders learning as some batches get unlucky with their curriculum leading to knowledge not being gained compared to other batches. ,Please consistently have utilities in the bathroom such as handsoap and tissue papers. 
2026/02/26 2:22:17 PM GMT+8,3rd Year,Data Science,Blended,4,4,4,4,5,5,5,5,4,5,3,4,5,5,5,5,5,5,5,4,5,4,4,4,4,5,4,4,4,4,4,4,IT services,classroom facilities,none
2026/02/26 2:22:58 PM GMT+8,3rd Year,Data Science,Face-to-face,3,4,5,5,2,2,2,1,3,1,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,4,"The library, the guidance office, the admissions, and the online learning materials.",The wi-fi and network connectivity within campus. I think their security measure is inefficient AND un-usable.,None. I hope this gets them to fix their wifi lol
2026/02/26 2:30:19 PM GMT+8,3rd Year,Information Technology,Blended,2,4,2,3,3,3,4,2,2,2,2,2,4,4,4,4,2,2,2,2,2,1,2,4,2,1,4,4,4,2,2,2,Health services,Library and Computer Labs,
2026/02/26 3:33:39 PM GMT+8,1st Year,Information Technology,Face-to-face,3,4,3,4,3,4,3,3,5,3,5,3,3,4,4,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,Yung mag sagot,Diko po alam,Maganda yung form hehe
2026/03/02 12:46:25 PM GMT+8,2nd Year,Data Science,Blended,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The clinic,Bathroom,I hope the soon fix some of the mens bathroom clog uniral
2026/03/02 1:12:52 PM GMT+8,2nd Year,Data Science,Face-to-face,3,3,3,3,4,3,4,2,3,4,3,5,4,4,5,4,4,2,3,3,3,5,4,5,5,5,2,2,4,3,3,3,SOIT providing assistance in technical concerns.,How the department handles academic concerns (not necessarily correlated with the department),Wala naman
2026/03/02 1:14:30 PM GMT+8,2nd Year,Data Science,Blended,5,5,4,4,5,4,4,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,4,4,3,5,5,4,5,5,5,5,,,
2026/03/02 1:18:50 PM GMT+8,2nd Year,Data Science,Blended,2,4,2,5,5,5,5,5,5,1,2,2,5,5,5,5,5,4,2,2,1,5,5,5,5,5,5,5,5,5,5,5,Academic Assitance,Efficiency of teaching,Increase support on internship and career finding
2026/03/02 1:59:37 PM GMT+8,3rd Year,Data Science,Blended,5,5,5,5,5,5,5,5,1,1,1,1,3,3,4,5,5,4,4,5,4,4,5,5,3,4,5,5,5,4,5,4,Treasury,MAPUA Wifi,Better wifi and restroom facilities
2026/03/02 1:59:47 PM GMT+8,3rd Year,Data Science,Online,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,DO - IT,Mapua Wifi,Mapua services is great keep up the food work 😀
2026/03/02 2:06:18 PM GMT+8,3rd Year,Data Science,Blended,5,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Library,Student lounge,
2026/03/02 2:06:31 PM GMT+8,2nd Year,Data Science,Blended,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,5,5,4,4,5,5,5,5,4,5,5,4,5,4,5,5,Wi-Fi,consultation,Great lectures
2026/03/02 2:12:04 PM GMT+8,3rd Year,Data Science,Face-to-face,4,5,5,5,3,4,4,3,4,4,3,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,4,4,3,4,4,3,SOIT dept,Everything ,
2026/03/02 02:52:52 PM GMT+8,1st Year,Data Science,Blended,3,5,2,5,2,4,5,5,4,1,1,2,5,5,5,5,5,3,2,5,4,5,5,5,4,5,3,4,5,4,3,5,IT services,classroom facilities,Increase support on internship and career finding
2026/03/02 03:53:41 PM GMT+8,3rd Year,Data Science,Blended,4,5,4,4,3,2,5,3,4,4,1,1,5,5,4,3,4,5,2,4,4,1,5,3,5,3,5,5,3,4,5,5,Yung mag sagot,classroom facilities,I hope the soon fix some of the mens bathroom clog uniral
2026/03/02 05:38:41 PM GMT+8,3rd Year,Data Science,Face-to-face,3,4,4,4,5,5,3,5,4,5,3,5,5,5,4,5,5,5,5,5,3,4,5,5,5,5,5,5,4,4,3,4,Wi-Fi,I would say that the constant changes of the curriculum hinders learning as some batches get unlucky with their curriculum leading to knowledge not being gained compared to other batches. ,none
2026/03/02 07:13:47 PM GMT+8,2nd Year,Data Science,Blended,5,5,4,4,3,3,5,5,5,5,5,4,4,5,5,5,5,4,2,4,5,4,5,4,4,5,5,5,5,2,2,5,IT services,consultation,Maganda yung form hehe
